Rank,Player,Team,Age,Position,Apps,Mins,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,Rating
161,Mykhailo Mudryk,Chelsea,23,AM(L),18(13),1581,5,2,1.1,1,1.3,0.9,-,0.7,1.7,6.67
162,Raúl Jiménez,Fulham,33,FW,18(6),1404,7,-,1.7,0.5,0.4,0.9,0.5,1.3,1.8,6.67
163,Matty Cash,Aston Villa,27,"D(R),M(CLR)",23(6),2144,2,2,1.1,0.4,0.4,0.8,-,0.5,0.7,6.66
164,Nathan Collins,Brentford,23,D(CR),29(3),2650,1,1,0.3,0.3,0.3,0.7,0.1,0.4,0.7,6.66
165,Neco Williams,Nottingham Forest,23,"D(LR),M(LR)",18(8),1634,-,1,0.6,0.4,0.7,1.2,0.2,1,1.5,6.66
166,Dara O'Shea,Burnley,25,D(CR),32(1),2895,3,4,0.6,0.4,-,0.5,-,-,0.3,6.66
167,Pape Sarr,Tottenham,22,M(C),27(7),2087,3,3,1.1,0.6,0.6,0.5,-,0.4,1.1,6.66
168,Josh Cullen,Burnley,28,DMC,23(2),2060,2,3,0.6,1,0.1,2,-,0.4,0.7,6.65
169,Elliot Anderson,Newcastle,22,M(CL),10(11),1024,-,2,0.9,0.7,1,0.9,-,1,1.3,6.65
170,James Trafford,Burnley,22,GK,28,2520,-,-,-,-,0.1,0.2,-,-,-,6.65
171,Alisson Becker,Liverpool,32,GK,28,2520,-,-,-,-,-,0.2,-,-,0.1,6.65
172,Moussa Diaby,Aston Villa,25,"M(CLR),FW",25(13),2188,6,8,1.4,1.2,0.8,0.4,0.2,0.8,0.9,6.65
173,Mark Flekken,Brentford,31,GK,37,3286,-,1,-,0.1,0.1,0.1,-,-,-,6.65
174,Teden Mengi,Luton,22,D(C),28(2),2470,1,-,0.4,0.2,0.2,0.2,-,0.2,0.7,6.65
175,Bart Verbruggen,Brighton,22,GK,21,1890,-,-,-,-,-,0.1,-,-,-,6.64
176,Ezri Konsa,Aston Villa,27,D(CR),35,3074,1,-,0.5,0.2,0.5,1.8,-,0.5,0.7,6.64
177,Mateo Kovacic,Man City,30,M(CL),16(14),1549,1,-,0.7,0.7,0.7,0.5,-,0.8,0.5,6.63
178,Abdoulaye Doucouré,Everton,31,M(C),32,2643,7,2,1.5,1.1,0.8,0.3,0.7,1.3,1.9,6.63
179,Ederson,Man City,31,GK,33,2789,-,-,-,-,-,0.1,-,-,-,6.63
180,Timothy Castagne,Fulham,29,"D(CLR),M(LR)",29(5),2634,1,3,0.4,0.5,0.5,0.3,0.1,0.3,0.7,6.63
181,Youri Tielemans,Aston Villa,27,M(C),17(15),1622,2,6,0.4,0.6,0.5,0.9,-,0.7,0.5,6.63
182,Vinicius Souza,Sheff Utd,25,DMC,29(7),2673,1,-,0.4,0.1,0.5,0.4,0.1,0.7,0.9,6.62
183,Wilson Odobert,Burnley,20,"AM(CLR),FW",25(4),2109,3,2,1.7,1.1,1.8,0.7,-,1,1.7,6.62
184,Djordje Petrovic,Chelsea,25,GK,22(1),1986,-,-,-,-,-,-,-,-,-,6.62
185,Jack Harrison,Everton,28,"AM(CLR),FW",25(4),2220,3,3,1.2,1,1,1,-,1.4,2.3,6.62
186,Anthony Elanga,Nottingham Forest,22,"AM(LR),FW",25(11),2434,5,9,1.5,0.9,0.8,0.7,0.5,0.6,1.9,6.62
187,Harvey Barnes,Newcastle,27,AM(CL),7(14),795,5,3,1.3,0.6,0.3,1,0.1,0.8,0.6,6.61
188,Gabriel Osho,Luton,26,"D(CR),DMC",21,1848,2,-,0.5,0.1,0.3,0.7,-,0.5,0.6,6.61
189,Kristoffer Ajer,Brentford,26,"D(CLR),DMC",21(7),1836,2,1,0.4,0.4,0.4,0.4,-,0.2,0.6,6.61
190,Josh Brownhill,Burnley,29,M(CR),23(10),2253,4,2,0.8,1,0.2,0.7,0.1,0.4,0.5,6.61
191,Nicolás Domínguez,Nottingham Forest,26,M(CLR),19(7),1505,2,2,0.8,0.4,0.3,0.6,0.1,0.3,0.8,6.61
192,Ola Aina,Nottingham Forest,28,"D(CLR),M(LR)",20(2),1701,1,1,0.5,0.5,1.2,1.1,0.1,0.5,1.1,6.61
193,Pau Torres,Aston Villa,27,D(C),27(2),2464,2,-,0.4,0.3,0.6,0.3,0.1,0.4,0.3,6.61
194,Dango Ouattara,Bournemouth,22,"D(L),M(LR)",12(18),1222,1,2,1,0.6,0.7,0.6,0.1,0.4,0.8,6.61
195,Joe Gomez,Liverpool,27,D(CLR),17(15),1779,-,1,0.6,0.7,0.5,0.5,-,0.3,0.8,6.60
196,Michail Antonio,West Ham,34,"D(R),M(CLR),FW",21(5),1711,6,2,1.2,0.3,1.1,1.1,0.3,1.5,2.7,6.60
197,Jonny Evans,Man Utd,36,D(CL),15(8),1396,-,1,-,0.3,0.2,0.6,-,0.1,0.2,6.60
198,Nélson Semedo,Wolves,31,"D(CLR),M(R)",36,3091,-,1,0.5,0.7,1.4,0.8,-,1,1.6,6.60
199,Miguel Almirón,Newcastle,30,"AM(CLR),FW",23(10),1947,3,1,1.2,0.7,0.7,0.7,0.3,0.8,0.9,6.60
200,Takehiro Tomiyasu,Arsenal,26,D(CLR),10(12),1144,2,1,0.8,0.3,0.2,0.4,-,0.1,0.6,6.60
201,Wataru Endo,Liverpool,31,DMC,20(9),1723,1,-,0.3,0.6,0.3,0.9,-,0.8,0.9,6.59
